name,description,genre
eindeutig,Examine the contents of Outlook Express DBX email repository files (forensic purposes),forensic
electric-fence,A malloc(3) debugger that uses virtual memory hardware to detect illegal memory accesses.,debugger
elettra,Encryption utility by Julia Identity,misc
elettra-gui,Gui for the elettra crypto application.,misc
elfkickers,Collection of ELF utilities (includes sstrip),binary
elfparser,Cross Platform ELF analysis.,binary
elfutils,Handle ELF object files and DWARF debugging information (utilities),binary
elidecode,A tool to decode obfuscated shellcodes using the unicorn-engine for the emulation and the capstone-engine to print the asm code.,reversing
elite-proxy-finder,Finds public elite anonymity proxies and concurrently tests them.,proxy
email2phonenumber,A OSINT tool to obtain a target's phone number just by having his email address.,social
emldump,Analyze MIME files.,forensic
empire,A PowerShell and Python post-exploitation agent.,automation
enabler,Attempts to find the enable password on a cisco system via brute force.,cracker
encodeshellcode,This is an encoding tool for 32-bit x86 shellcode that assists a researcher when dealing with character filter or byte restrictions in a buffer overflow vulnerability or some kind of IDS/IPS/AV blocking your code.,exploitation
ent,Pseudorandom number sequence test.,misc
enteletaor,"Message Queue & Broker Injection tool that implements attacks to Redis, RabbitMQ and ZeroMQ.",exploitation
entropy,A set of tools to exploit Netwave and GoAhead IP Webcams.,exploitation
enum-shares,Tool that enumerates shared folders across the network and under a custom user account.,scanner
enum4linux,A tool for enumerating information from Windows and Samba systems.,recon
enum4linux-ng,A next generation version of enum4linux.,recon
enumerate-iam,Enumerate the permissions associated with an AWS credential set.,recon
enumerid,Enumerate RIDs using pure Python.,recon
enumiax,An IAX enumerator.,scanner
enyelkm,Rootkit for Linux x86 kernels v2.6.,backdoor
eos,Enemies Of Symfony - Debug mode Symfony looter.,webapp
epicwebhoneypot,Tool which aims to lure attackers using various types of web vulnerability scanners by tricking them into believing that they have found a vulnerability on a host.,webapp
erase-registrations,An IAX flooder.,voip
eraser,Windows tool which allows you to completely remove sensitive data from your hard drive by overwriting it several times with carefully selected patterns.,windows
eresi,The ERESI Reverse Engineering Software Interface.,binary
erl-matter,"Tool to exploit epmd related services such ass rabbitmp, ejabberd and couchdb by bruteforcing the cookie and gaining RCE afterwards.",exploitation
espionage,A Network Packet and Traffic Interceptor For Linux. Sniff All Data Sent Through a Network.,sniffer
eternal-scanner,An internet scanner for exploit CVE-0144 (Eternal Blue).,scanner
etherape,Graphical network monitor for various OSI layers and protocols,networking
etherchange,Can change the Ethernet address of the network adapters in Windows.,windows
etherflood,Floods a switched network with Ethernet frames with random hardware addresses.,windows
ettercap,Network sniffer/interceptor/logger for ethernet LANs - console,sniffer
evil-ssdp,Spoof SSDP replies to phish for NetNTLM challenge/response on a network.,spoof
evil-winrm,The ultimate WinRM shell for hacking/pentesting.,exploitation
evilclippy,A cross-platform assistant for creating malicious MS Office documents.,exploitation
evilginx,Man-in-the-middle attack framework used for phishing login credentials,social
evilgrade,Modular framework that takes advantage of poor upgrade implementations by injecting fake updates.,misc
evilize,Tool to create MD5 colliding binaries.,cracker
evillimiter,Tool that limits bandwidth of devices on the same network without access.,networking
evilmaid,TrueCrypt loader backdoor to sniff volume password,cracker
evilpdf,Embedding executable files in PDF Documents.,backdoor
evine,Interactive CLI Web Crawler.,webapp
evtkit,Fix acquired .evt - Windows Event Log files (Forensics).,forensic
exabgp,The BGP swiss army knife of networking.,networking
exe2image,A simple utility to convert EXE files to JPEG images and vice versa.,backdoor
exescan,A tool to detect anomalies in PE (Portable Executable) files.,binary
exitmap,A fast and modular scanner for Tor exit relays.,recon
expimp-lookup,Looks for all export and import names that contain a specified string in all Portable Executable in a directory tree.,binary
exploit-db,The Exploit Database (EDB) – an ultimate archive of exploits and vulnerable software - A collection of hacks,exploitation
exploitdb,Offensive Security’s Exploit Database Archive,exploitation
exploitpack,Exploit Pack - The next generation exploit framework.,exploitation
expose,A Dynamic Symbolic Execution (DSE) engine for JavaScript,binary
exrex,Irregular methods on regular expressions.,misc
extended-ssrf-search,Smart ssrf scanner using different methods like parameter brute forcing in post and get.,webapp
extracthosts,Extracts hosts (IP/Hostnames) from files.,misc
extractusnjrnl,Tool to extract the $UsnJrnl from an NTFS volume.,forensic
eyeballer,Convolutional neural network for analyzing pentest screenshots.,misc
eyepwn,Exploit for Eye-Fi Helper directory traversal vulnerability,exploitation
eyewitness,"Designed to take screenshots of websites, provide some server header info, and identify default credentials if possible.",webapp
f-scrack,A single file bruteforcer supports multi-protocol.,cracker
facebash,Facebook Brute Forcer in shellscript using TOR.,social
facebookosint,OSINT tool to replace facebook graph search.,social
facebot,A facebook profile and reconnaissance system.,recon
facebrok,Social Engineering Tool Oriented to facebook.,social
facebrute,This script tries to guess passwords for a given facebook account using a list of passwords (dictionary).,cracker
factordb-pycli,CLI for factordb and Python API Client.,crypto
fakeap,Black Alchemy's Fake AP generates thousands of counterfeit 802.11b access points. Hide in plain sight amongst Fake AP's cacophony of beacon frames.,honeypot
fakedns,"A regular-expression based python MITM DNS server with correct DNS request passthrough and ""Not Found"" responses.",proxy
fakemail,Fake mail server that captures e-mails as files for acceptance testing.,misc
fakenet-ng,Next Generation Dynamic Network Analysis Tool.,malware
fakenetbios,A family of tools designed to simulate Windows hosts (NetBIOS) on a LAN.,spoof
fang,A multi service threaded MD5 cracker.,cracker
faradaysec,Collaborative Penetration Test and Vulnerability Management Platform.,scanner
fastnetmon,High performance DoS/DDoS load analyzer built on top of multiple packet capture engines.,defensive
favfreak,"Weaponizing favicon.ico for BugBounties , OSINT and what not.",recon
fbht,A Facebook Hacking Tool,webapp
fbi,An accurate facebook account information gathering.,social
fbid,Show info about the author by facebook photo url.,recon
fcrackzip,Zip file password cracker,cracker
fdsploit,"A File Inclusion & Directory Traversal fuzzing, enumeration & exploitation tool.",webapp
featherduster,"An automated, modular cryptanalysis tool.",crypto
fern-wifi-cracker,"WEP, WPA wifi cracker for wireless penetration testing",cracker
fernflower,An analytical decompiler for Java.,decompiler
fernmelder,Asynchronous mass DNS scanner.,scanner
feroxbuster,"A fast, simple, recursive content discovery tool written in Rust.",webapp
ffuf,Fast web fuzzer written in Go.,webapp
ffuf-scripts,Scripts and snippets for ffuf payloads.,misc
fgscanner,"An advanced, opensource URL scanner.",scanner
fhttp,"This is a framework for HTTP related attacks. It is written in Perl with a GTK interface, has a proxy for debugging and manipulation, proxy chaining, evasion rules, and more.",webapp
fi6s,IPv6 network scanner designed to be fast.,scanner
fierce,A DNS reconnaissance tool for locating non-contiguous IP space.,recon
fiked,Fake IDE daemon,honeypot
filebuster,An extremely fast and flexible web fuzzer.,webapp
filefuzz,A binary file fuzzer for Windows with several options.,windows
filegps,A tool that help you to guess how your shell was renamed after the server-side script of the file uploader saved it.,webapp
fileintel,A modular Python application to pull intelligence about malicious files.,malware
filibuster,A Egress filter mapping application with additional functionality.,networking
fimap,A little tool for local and remote file inclusion auditing and exploitation,exploitation
finalrecon,OSINT Tool for All-In-One Web Reconnaissance.,recon
find-dns,A tool that scans networks looking for DNS servers.,scanner
findmyhash,Crack different types of hashes using free online services.,crypto
findmyiphone,Locates all devices associated with an iCloud account,mobile
findomain,"The fastest and cross-platform subdomain enumerator, do not waste your time",recon
findsploit,Find exploits in local and online databases instantly.,automation
fingerprinter,CMS/LMS/Library etc Versions Fingerprinter.,webapp
firecat,A penetration testing tool that allows you to punch reverse TCP tunnels out of a compromised network.,networking
firefox-security-toolkit,A tool that transforms Firefox browsers into a penetration testing suite.,misc
firewalk,An active reconnaissance network security tool,fuzzer
firmwalker,Script for searching the extracted firmware file system for goodies.,firmware
firmware-mod-kit,Modify firmware images without recompiling.,firmware
firstexecution,A Collection of different ways to execute code outside of the expected entry points.,exploitation
firstorder,A traffic analyzer to evade Empire communication from Anomaly-Based IDS.,sniffer
fl0p,"A passive L7 flow fingerprinter that examines TCP/UDP/ICMP packet sequences, can peek into cryptographic tunnels, can tell human beings and robots apart, and performs a couple of other infosec-related tricks.",fingerprint
flamerobin,A tool to handle Firebird database management.,database
flare,Flare processes an SWF and extracts all scripts from it.,misc
flare-floss,Obfuscated String Solver - Automatically extract obfuscated strings from malware.,malware
flashlight,Automated Information Gathering Tool for Penetration Testers.,recon
flashscanner,Flash XSS Scanner.,scanner
flashsploit,Exploitation Framework for ATtiny85 Based HID Attacks.,exploitation
flask-session-cookie-manager2,Decode and encode Flask session cookie.,webapp
flask-session-cookie-manager3,Decode and encode Flask session cookie.,webapp
flasm,Disassembler tool for SWF bytecode,reversing
flawfinder,Searches through source code for potential security flaws,code-audit
flowinspect,A network traffic inspection tool.,networking
flunym0us,A Vulnerability Scanner for Wordpress and Moodle.,scanner
fluxion,A security auditing and social-engineering research tool.,social
flyr,Block-based software vulnerability fuzzing framework.,fuzzer
fockcache,Tool to make cache poisoning by trying X-Forwarded-Host and X-Forwarded-Scheme headers on web pages.,webapp
forager,Multithreaded threat Intelligence gathering utilizing.,recon
foremost,"A console program to recover files based on their headers, footers, and internal data structures",forensic
foresight,A tool for predicting the output of random number generators.,crypto
forkingportscanner,"Simple and fast forking port scanner written in perl. Can only scan on host at a time, the forking is done on the specified port range. Or on the default range of 1. Has the ability to scan UDP or TCP, defaults to tcp.",scanner
formatstringexploiter,Helper script for working with format string bugs.,exploitation
fpdns,Program that remotely determines DNS server versions.,fingerprint
fping,Utility to ping multiple hosts at once,networking
fport,Identify unknown open ports and their associated applications.,windows
fprotlogparser,"This is a utility to parse a F-Prot Anti Virus log file, in order to sort them into a malware archive for easier maintanence of your collection.",malware
fraud-bridge,ICMP and DNS tunneling via IPv4 and IPv6.,tunnel
fred,Cross-platform M$ registry hive editor.,windows
freeipmi,"Sensor monitoring, system event monitoring, power control, and serial-over-LAN (SOL).",networking
freeradius,The premier open source RADIUS server,wireless
freewifi,How to get free wifi.,wireless
frida,"Dynamic instrumentation toolkit for developers, reverse-engineers, and security researchers.",reversing
frida-extract,Frida.re based RunPE (and MapViewOfSection) extraction tool.,reversing
frida-ios-dump,Pull decrypted ipa from jailbreak device.,mobile
frida-push,Wrapper tool to identify the remote device and push device specific frida-server binary,mobile
fridump,A universal memory dumper using Frida.,forensic
frisbeelite,A GUI-based USB device fuzzer.,fuzzer
fs-exploit,Format string exploit generation.,exploitation
fs-nyarl,A network takeover & forensic analysis tool - useful to advanced PenTest tasks & for fun and profit.,scanner
fsnoop,"A tool to monitor file operations on GNU/Linux systems by using the Inotify mechanism. Its primary purpose is to help detecting file race condition vulnerabilities and since version 3, to exploit them with loadable DSO modules (also called ""payload modules"" or ""paymods"").",scanner
fssb,A low-level filesystem sandbox for Linux using syscall intercepts.,defensive
fstealer,Automates file system mirroring through remote file disclosure vulnerabilities on Linux machines.,automation
ftester,A tool designed for testing firewall filtering policies and Intrusion Detection System (IDS) capabilities.,fuzzer
ftp-fuzz,The master of all master fuzzing scripts specifically targeted towards FTP server software.,fuzzer
ftp-scanner,"Multithreaded ftp scanner/brute forcer. Tested on Linux, OpenBSD and Solaris.",cracker
ftp-spider,"FTP investigation tool - Scans ftp server for the following: reveal entire directory tree structures, detect anonymous access, detect directories with write permissions, find user specified data within repository.",scanner
ftpmap,Scans remote FTP servers to identify what software and what versions they are running.,fingerprint
ftpscout,Scans ftps for anonymous access.,scanner
fuddly,Fuzzing and Data Manipulation Framework (for GNU/Linux).,fuzzer
fusil,A Python library used to write fuzzing programs.,fuzzer
fuxploider,Tool that automates the process of detecting and exploiting file upload forms flaws.,webapp
fuzzap,A python script for obfuscating wireless networks.,wireless
fuzzball2,A little fuzzer for TCP and IP options. It sends a bunch of more or less bogus packets to the host of your choice.,fuzzer
fuzzbunch,NSA Exploit framework,exploitation
fuzzdb,Attack and Discovery Pattern Dictionary for Application Fault Injection Testing.,fuzzer
fuzzdiff,"A simple tool designed to help out with crash analysis during fuzz testing. It selectively 'un-fuzzes' portions of a fuzzed file that is known to cause a crash, re-launches the targeted application, and sees if it still crashes.",fuzzer
fuzzowski,A Network Protocol Fuzzer made by NCCGroup based on Sulley and BooFuzz.,fuzzer
fuzztalk,An XML driven fuzz testing framework that emphasizes easy extensibility and reusability.,windows
g72x++,Decoder for the g72x++ codec.,wireless
gadgetinspector,A byte code analyzer for finding deserialization gadget chains in Java applications.,decompiler
gadgettojscript,.NET serialized gadgets that can trigger .NET assembly from JS/VBS/VBA based scripts.,exploitation
galleta,Examine the contents of the IE's cookie files for forensic purposes,forensic
gasmask,All in one Information gathering tool - OSINT.,recon
gatecrasher,Network auditing and analysis tool developed in Python.,recon
gau,"Fetch known URLs from AlienVault's Open Threat Exchange, the Wayback Machine, and Common Crawl.",webapp
gcat,A fully featured backdoor that uses Gmail as a C&C server.,malware
gcpbucketbrute,"A script to enumerate Google Storage buckets, determine what access you have to them, and determine if they can be privilege escalated.",scanner
gcrypt,"Simple, secure and performance file encryption tool written in C",crypto
gdb,The GNU Debugger,debugger
gdb-common,The GNU Debugger,debugger
gdbgui,"Browser-based gdb frontend using Flask and JavaScript to visually debug C, C++, Go, or Rust.",debugger
gef,Multi-Architecture GDB Enhanced Features for Exploiters & Reverse-Engineers.,debugger
gene,Signature Engine for Windows Event Logs.,windows
genisys,Powerful Telegram Members Scraping and Adding Toolkit.,social
genlist,Generates lists of IP addresses.,misc
geoedge,"This little tools is designed to get geolocalization information of a host, it get the information from two sources (maxmind and geoiptool).",recon
geoip,Non-DNS IP-to-country resolver C library & utils,networking
geoipgen,GeoIPgen is a country to IP addresses generator.,misc
gerix-wifi-cracker,A graphical user interface for aircrack-ng and pyrit.,wireless
gethsploit,Finding Ethereum nodes which are vulnerable to RPC-attacks.,scanner
getsids,Getsids tries to enumerate Oracle Sids by sending the services command to the Oracle TNS listener. Like doing ‘lsnrctl service’.,database
getsploit,Command line utility for searching and downloading exploits.,exploitation
gggooglescan,A Google scraper which performs automated searches and returns results of search queries in the form of URLs or hostnames.,scanner
ghettotooth,Ghettodriving for bluetooth,bluetooth
ghidra,Software reverse engineering framework,reversing
ghost-phisher,GUI suite for phishing and penetration attacks,scanner
ghost-py,Webkit based webclient (relies on PyQT).,webapp
ghostdelivery,Python script to generate obfuscated .vbs script that delivers payload (payload dropper) with persistence and windows antivirus disabling functions.,exploitation
gibberish-detector,Train a model and detect gibberish strings with it.,misc
girsh,Automatically spawn a reverse shell fully interactive for Linux or Windows victim.,networking
giskismet,A program to visually represent the Kismet data in a flexible manner.,wireless
git-dump,Dump the contents of a remote git repository without directory listing enabled.,scanner
git-dumper,A tool to dump a git repository from a website.,scanner
git-hound,"Pinpoints exposed API keys on GitHub. A batch-catching, pattern-matching, patch-attacking secret snatcher.",recon
gitdorker,Python program to scrape secrets from GitHub through usage of a large repository of dorks.,recon
gitem,A Github organization reconnaissance tool.,recon
gitgraber,Monitor GitHub to search and find sensitive data in real time for different online services.,recon
githack,A `.git` folder disclosure exploit.,recon
github-dorks,Collection of github dorks and helper tool to automate the process of checking dorks.,recon
githubcloner,A script that clones Github repositories of users and organizations automatically.,misc
gitleaks,Audit Git repos for secrets and keys.,recon
gitmails,An information gathering tool to collect git commit emails in version control host services.,recon
gitminer,Tool for advanced mining for content on Github.,recon
gitrecon,OSINT tool to get information from a Github and Gitlab profile and find user's email addresses leaked on commits.,recon
gitrob,Reconnaissance tool for GitHub organizations.,scanner
gittools,A repository with 3 tools for pwn'ing websites with .git repositories available'.,webapp
gloom,Linux Penetration Testing Framework.,scanner
glue,A framework for running a series of tools.,automation
gnuradio,General purpose DSP and SDR toolkit. With drivers for usrp and fcd.,wireless
gnutls2,A library which provides a secure layer over a reliable transport layer (Version 2),crypto
gobd,A Golang covert backdoor.,backdoor
gobuster,Directory/file & DNS busting tool written in Go.,webapp
goddi,Dumps Active Directory domain information.,recon
goldeneye,A HTTP DoS test tool. Attack Vector exploited: HTTP Keep Alive + NoCache.,dos
golismero,Opensource web security testing framework.,webapp
goodork,A python script designed to allow you to leverage the power of google dorking straight from the comfort of your command line.,recon
goofile,Command line filetype search,recon
goog-mail,Enumerate domain emails from google.,recon
google-explorer,"Google mass exploit robot - Make a google search, and parse the results for a especific exploit you define.",automation
googlesub,A python script to find domains by using google dorks.,recon
goohak,Automatically Launch Google Hacking Queries Against A Target Domain.,recon
goop,Perform google searches without being blocked by the CAPTCHA or hitting any rate limits.,recon
gooscan,"A tool that automates queries against Google search appliances, but with a twist.",automation
gopherus,Tool generates gopher link for exploiting SSRF and gaining RCE in various servers.,webapp
gophish,Open-Source Phishing Framework.,social
gosint,OSINT framework in Go.,recon
gospider,Fast web spider written in Go.,webapp
gostringsr2,Extract strings from a Go binary using radare2.,reversing
gowitness,"A golang, web screenshot utility using Chrome Headless.",webapp
gplist,Lists information about the applied Group Policies.,windows
gpocrack,Active Directory Group Policy Preferences cpassword cracker/decrypter.,cracker
gpredict,A real-time satellite tracking and orbit prediction application.,radio
gps-sdr-sim,Software-Defined GPS Signal Simulator.,radio
gqrx,Interactive SDR receiver waterfall for many devices.,wireless
gr-air-modes,"Gnuradio tools for receiving Mode S transponder signals, including ADS-B.",radio
gr-gsm,Gnuradio blocks and tools for receiving GSM transmissions.,radio
gr-paint,An OFDM Spectrum Painter for GNU Radio.,radio
grabbb,"Clean, functional, and fast banner scanner.",scanner
grabber,A web application scanner. Basically it detects some kind of vulnerabilities in your website.,webapp
grabing,Counts all the hostnames for an IP adress,recon
grabitall,Performs traffic redirection by sending spoofed ARP replies.,windows
graffiti,A tool to generate obfuscated one liners to aid in penetration testing.,misc
grammarinator,A random test generator / fuzzer that creates test cases according to an input ANTLR v4 grammar.,fuzzer
graphql-path-enum,Tool that lists the different ways of reaching a given type in a GraphQL schema.,webapp
graphqlmap,Scripting engine to interact with a graphql endpoint for pentesting purposes.,webapp
graudit,Grep rough source code auditing tool.,code-audit
greenbone-security-assistant,Greenbone Security Assistant (gsa) - OpenVAS web frontend,scanner
grepforrfi,Simple script for parsing web logs for RFIs and Webshells v1.2,scanner
grokevt,A collection of scripts built for reading Windows® NT/2K/XP/2K eventlog files.,forensic
grr,High-throughput fuzzer and emulator of DECREE binaries.,fuzzer
grype,A vulnerability scanner for container images and filesystems.,scanner
gsd,Gives you the Discretionary Access Control List of any Windows NT service you specify as a command line option.,windows
gsocket,"Global Socket. Moving data from here to there. Securely, Fast and trough NAT/Firewalls.",networking
gspoof,A simple GTK/command line TCP/IP packet generator.,networking
gtalk-decode,Google Talk decoder tool that demonstrates recovering passwords from accounts.,windows
gtfo,Search gtfobins and lolbas files from your terminal.,misc
gtfoblookup,Offline command line lookup utility for GTFOBins and LOLBAS.,misc
gtp-scan,A small python script that scans for GTP (GPRS tunneling protocol) speaking hosts.,scanner
guymager,A forensic imager for media acquisition.,forensic
gvmd,greenbone-vulnerability-manager,scanner
gwcheck,A simple program that checks if a host in an ethernet network is a gateway to Internet.,networking
gwtenum,Enumeration of GWT-RCP method calls.,recon
h2buster,"A threaded, recursive, web directory brute-force scanner over HTTP/2.",scanner
h2csmuggler,HTTP Request Smuggling over HTTP/2 Cleartext (h2c).,webapp
h2spec,A conformance testing tool for HTTP/2 implementation.,misc
h2t,Scans a website and suggests security headers to apply.,webapp
h8mail,Email OSINT and password breach hunting.,recon
habu,Python Network Hacking Toolkit.,scanner
hackersh,"A shell for with Pythonect-like syntax, including wrappers for commonly used security tools.",automation
hackredis,A simple tool to scan and exploit redis servers.,exploitation
hackrf,"Driver for HackRF, allowing general purpose software defined radio (SDR).",radio
haiti,A CLI tool to identify the hash type of a given hash.,crypto
haka,A collection of tool that allows capturing TCP/IP packets and filtering them based on Lua policy files.,networking
hakku,Simple framework that has been made for penetration testing tools.,scanner
hakrawler,"Simple, fast web crawler designed for easy, quick discovery of endpoints and assets within a web application.",webapp
hakrevdns,"Small, fast tool for performing reverse DNS lookups en masse.",recon
halberd,Halberd discovers HTTP load balancers. It is useful for web application security auditing and for load balancer configuration testing.,scanner
halcyon,A repository crawler that runs checksums for static files found within a given git repository.,recon
halcyon-ide,First IDE for Nmap Script (NSE) Development.,misc
hamster,Tool for HTTP session sidejacking.,exploitation
handle,"An small application designed to analyze your system searching for global objects related to running process and display information for every found object, like tokens, semaphores, ports, files,..",windows
harness,Interactive remote PowerShell Payload.,backdoor
harpoon,CLI tool for open source and threat intelligence.,automation
hasere,Discover the vhosts using google and bing.,recon
hash-buster,A python script which scraps online hash crackers to find cleartext of a hash.,crypto
hash-extender,A hash length extension attack tool.,crypto
hash-identifier,Software to identify the different types of hashes used to encrypt data and especially passwords.,crypto
hashcat,Multithreaded advanced password recovery utility,cracker
hashcat-utils,Set of small utilities that are useful in advanced password cracking,misc
hashcatch,Capture handshakes of nearby WiFi networks automatically.,wireless
hashdb,A block hash toolkit.,crypto
hashdeep,cross-platform tools to message digests for any number of files,crypto
hasher,"A tool that allows you to quickly hash plaintext strings, or compare hashed values with a plaintext locally.",cracker
hashfind,A tool to search files for matching password hash types and other interesting data.,crypto
hashid,Software to identify the different types of hashes used to encrypt data.,crypto
hashpump,A tool to exploit the hash length extension attack in various hashing algorithms.,crypto
hashtag,A python script written to parse and identify password hashes.,cracker
hatcloud,Bypass CloudFlare with Ruby.,recon
hate-crack,A tool for automating cracking methodologies through Hashcat.,automation
haystack,A Python framework for finding C structures from process memory - heap analysis - Memory structures forensics.,binary
hbad,This tool allows you to test clients on the heartbleed bug.,scanner
hcraft,HTTP Vuln Request Crafter,exploitation
hcxdumptool,Small tool to capture packets from wlan devices,wireless
hcxkeys,Set of tools to generate plainmasterkeys (rainbowtables) and hashes for hashcat and John the Ripper,crypto
hcxtools,Portable solution for capturing wlan traffic and conversion to hashcat and John the Ripper formats,wireless
hdcp-genkey,Generate HDCP source and sink keys from the leaked master key.,crypto
hdmi-sniff,HDMI DDC (I2C) inspection tool. It is designed to demonstrate just how easy it is to recover HDCP crypto keys from HDMI devices.,hardware
heartbleed-honeypot,"Script that listens on TCP port 443 and responds with completely bogus SSL heartbeat responses, unless it detects the start of a byte pattern similar to that used in Jared Stafford's",honeypot
heartleech,"Scans for systems vulnerable to the heartbleed bug, and then download them.",exploitation
hellraiser,Vulnerability Scanner.,scanner
hemingway,A simple and easy to use spear phishing helper.,social
hercules-payload,A special payload generator that can bypass all antivirus software.,binary
hetty,"HTTP toolkit for security research. It aims to become an open source alternative to commercial software like Burp Suite Pro, with powerful features tailored to the needs of the infosec and bug bounty community.",webapp
hex2bin,Converts Motorola and Intel hex files to binary.,binary
hexinject,A very versatile packet injector and sniffer that provides a command-line framework for raw network access.,sniffer
hexorbase,"A database application designed for administering and auditing multiple database servers simultaneously from a centralized location. It is capable of performing SQL queries and bruteforce attacks against common database servers (MySQL, SQLite, Microsoft SQL Server, Oracle, PostgreSQL).",fuzzer
hexyl,Colored command-line hex viewer,misc
hharp,"This tool can perform man-in-the-middle and switch flooding attacks. It has 4 major functions, 3 of which attempt to man-in-the-middle one or more computers on a network with a passive method or flood type method.",networking
hidattack,HID Attack (attacking HID host implementations),bluetooth
hiddeneye,Modern phishing tool with advanced functionality.,social
hikpwn,A simple scanner for Hikvision devices with basic vulnerability scanning capabilities written in Python 3.8.,scanner
hlextend,Pure Python hash length extension module.,crypto
hodor,A general-use fuzzer that can be configured to use known-good input and delimiters in order to fuzz specific locations.,fuzzer
hollows-hunter,"Scans all running processes. Recognizes and dumps a variety of potentially malicious implants (replaced/injected PEs, shellcodes, hooks, in-memory patches).",windows
homepwn,Swiss Army Knife for Pentesting of IoT Devices.,scanner
honeyd,A small daemon that creates virtual hosts on a network.,honeypot
honeypy,A low interaction Honeypot.,honeypot
honggfuzz,"A general-purpose fuzzer with simple, command-line interface.",fuzzer
honssh,A high-interaction Honey Pot solution designed to log all SSH communications between a client and server.,honeypot
hookanalyser,A hook tool which can be potentially helpful in reversing applications and analyzing malware. It can hook to an API in a process and search for a pattern in memory or dump the buffer.,windows
hoover,Wireless Probe Requests Sniffer.,wireless
hoper,Trace URL's jumps across the rel links to obtain the last URL.,recon
hopper,"Reverse engineering tool that lets you disassemble, decompile and debug your applications.",reversing
hoppy,A python script which tests http methods for configuration issues leaking information or just to see if they are enabled.,scanner
host-extract,Ruby script tries to extract all IP/Host patterns in page response of a given URL and JavaScript/CSS files of that URL.,scanner
hostapd-wpe,Modified hostapd to facilitate AP impersonation attacks.,wireless
hostbox-ssh,A ssh password/account scanner.,cracker
hosthunter,A recon tool for discovering hostnames using OSINT techniques.,recon
hotpatch,Hot patches executables on Linux using .so file injection.,backdoor
hotspotter,"Hotspotter passively monitors the network for probe request frames to identify the preferred networks of Windows XP clients, and will compare it to a supplied list of common hotspot network names.",wireless
howmanypeoplearearound,Count the number of people around you by monitoring wifi signals.,recon
hpfeeds,Honeynet Project generic authenticated datafeed protocol.,honeypot
hping,A command-line oriented TCP/IP packet assembler/analyzer.,networking
hqlmap,A tool to exploit HQL Injections.,exploitation
hsecscan,A security scanner for HTTP response headers.,scanner
htcap,A web application analysis tool for detecting communications between javascript and the server.,webapp
htexploit,A Python script that exploits a weakness in the way that .htaccess files can be configured to protect a web directory with an authentication process,exploitation
htpwdscan,A python HTTP weak pass scanner.,cracker
htrosbif,Active HTTP server fingerprinting and recon tool.,fingerprint
htshells,Self contained web shells and other attacks via .htaccess files.,exploitation
http-enum,A tool to enumerate the enabled HTTP methods supported on a webserver.,scanner
http-fuzz,A simple http fuzzer.,fuzzer
http-put,Simple http put perl script.,misc
http-traceroute,This is a python script that uses the Max-Forwards header in HTTP and SIP to perform a traceroute-like scanning functionality.,networking
httpbog,"A slow HTTP denial-of-service tool that works similarly to other attacks, but rather than leveraging request headers or POST data Bog consumes sockets by slowly reading responses.",windows
httpforge,"A set of shell tools that let you manipulate, send, receive, and analyze HTTP messages. These tools can be used to test, discover, and assert the security of Web servers, apps, and sites. An accompanying Python library is available for extensions.",webapp
httpgrep,A python tool which scans for HTTP servers and finds given strings in URIs.,webapp
httping,A ping-like tool for http-requests,networking
httppwnly,"""Repeater"" style XSS post-exploitation tool for mass browser control.",webapp
httprecon,"Tool for web server fingerprinting, also known as http fingerprinting.",windows
httprint,A web server fingerprinting tool.,fingerprint
httprint-win32,A web server fingerprinting tool (Windows binaries).,windows
httprobe,Take a list of domains and probe for working HTTP and HTTPS servers,scanner
httpry,A specialized packet sniffer designed for displaying and logging HTTP traffic.,sniffer
httpscreenshot,A tool for grabbing screenshots and HTML of large numbers of websites.,misc
httpsniff,Tool to sniff HTTP responses from TCP/IP based networks and save contained files locally for later review.,sniffer
httpsscanner,A tool to test the strength of a SSL web server.,scanner
httptunnel,Creates a bidirectional virtual data connection tunnelled in HTTP requests,tunnel
httpx,A fast and multi-purpose HTTP toolkit allow to run multiple probers using retryablehttp library.,webapp
httrack,An easy-to-use offline browser utility,misc
hubbit-sniffer,Simple application that listens for WIFI-frames and records the mac-address of the sender and posts them to a REST-api.,sniffer
hulk,A webserver DoS tool (Http Unbearable Load King) ported to Go with some additional features.,dos
hungry-interceptor,"Intercepts data, does something with it, stores it.",sniffer
hurl,Hexadecimal & URL (en/de)coder.,misc
hwk,Collection of packet crafting and wireless network flooding tools,dos
hxd,Freeware Hex Editor and Disk Editor.,misc
hyde,Just another tool in C to do DDoS (with spoofing).,networking
hydra,Very fast network logon cracker which support many different services,cracker
hyenae,Flexible platform independent packet generator.,networking
hyperfox,A security tool for proxying and recording HTTP and HTTPs traffic.,networking
hyperion-crypter,A runtime encrypter for 32-bit and 64-bit portable executables.,windows
i2pd,A full-featured C++ implementation of the I2P router,networking
iaxflood,IAX flooder.,dos
iaxscan,A Python based scanner for detecting live IAX/2 hosts and then enumerating (by bruteforce) users on those hosts.,scanner
ibrute,"An AppleID password bruteforce tool. It uses Find My Iphone service API, where bruteforce protection was not implemented.",cracker
icloudbrutter,Tool for AppleID Bruteforce.,cracker
icmpquery,Send and receive ICMP queries for address mask and current time.,scanner
icmpsh,Simple reverse ICMP shell.,backdoor
icmptx,IP over ICMP tunnel.,tunnel
