ProgramID,Name,Description,Tag
446,cve-search,A tool to perform local searches for known vulnerabilities.,exploitation
447,Cvs, Concurrent Versions System and is a tool that allows developers to keep track of their projects,misc
448,cybercrowl,A Python Web path scanner tool.,web-app
449,cyberscan,A Network Pentesting Tool,networking
450,cymothoa,"Cymothoa is a stealth backdooring tool, that inject backdoor’s shellcode into an existing process. The tool uses the ptrace library (available on nearly all * nix), to manipulate processes and infect them.",persistence
451,dagon,Advanced Hash Manipulation.,crypto
452,dalfox,Parameter Analysis and XSS Scanning tool.,web-app
453,damm,Differential Analysis of Malware in Memory.,malware
454,daredevil,A tool to perform (higher-order) correlation power analysis attacks (CPA).,crypto
455,darkarmour,"Store and execute an encrypted windows binary from inside memory, without a single bit touching disk.",windows
456,darkbing,A tool written in python that leverages bing for mining data on systems that may be susceptible to SQL injection.,scanner
457,darkd0rk3r,Python script that performs dork searching and searches for local file inclusion and SQL injection errors.,exploitation
458,dark-dork-searcher,Dark-Dork Searcher.,windows
459,darkdump,Search The Deep Web Straight From Your Terminal.,web-app
460,darkjumper,This tool will try to find every website that host at the same server at your target.,web-app
461,darkmysqli,Multi-Purpose MySQL Injection Tool,exploitation
462,darkscrape,OSINT Tool For Scraping Dark Websites.,web-app
463,darkspiritz,"A penetration testing framework for Linux, MacOS, and Windows systems.",exploitation
464,darkstat,Network statistics gatherer (packet sniffer),sniffer
465,datajackproxy,A proxy which allows you to intercept TLS traffic in native x86 applications across platform.,proxy
466,datasploit,Performs automated OSINT and more.,recon
467,davoset,A tool for using Abuse of Functionality and XML External Entities vulnerabilities on some websites to attack other websites.,dos
468,davscan,"Fingerprints servers, finds exploits, scans WebDAV.",web-app
469,davtest,"DAVTest tests WebDAV enabled servers by uploading test executable files, and then (optionally) uploading files which allow for command execution or other actions directly on the target. It is meant for penetration testers to quickly and easily determine if enabled DAV services are exploitable.",web-app
470,dawnscanner,A static analysis security scanner for ruby written web applications.,web-app
471,dbd,"dbd is a Netcat-clone, designed to be portable and offer strong encryption. It runs on Unix-like operating systems and on Microsoft Win32. dbd features AES-CBC-128 + HMAC-SHA1 encryption (by Christophe Devine), program execution (-e option), choosing source port, continuous reconnection with delay, and some other nice features. dbd supports TCP/IP communication only. Source code and binaries are distributed under the GNU General Public License.",persistence
472,dbpwaudit,A Java tool that allows you to perform online audits of password quality for several database engines.,cracker
473,dbusmap,"Simple utility for enumerating D-Bus endpoints, an nmap for D-Bus.",scanner
474,dc3dd,dc3dd is a patched version of GNU dd with added features for computer forensics:,forensics
475,dcfldd,DCFL (DoD Computer Forensics Lab) dd replacement with hashing.,forensics
476,dcomexec.py,"A semi-interactive shell similar to wmiexec.py, but using different DCOM endpoints.",windows
477,dcrawl,"Simple, but smart, multi-threaded web crawler for randomly gathering huge lists of unique domain names.",scanner
478,ddrescue,"Like dd, dd_rescue does copy data from one file or block device to another. You can specify file positions (called seek and Skip in dd). There are several differences:",forensics
479,de4dot,.NET deobfuscator and unpacker.,windows
480,deathstar,Automate getting Domain Admin using Empire.,automation
481,debinject,Inject malicious code into *.debs.,backdoor
482,deblaze,"Through the use of the Flex programming model and the ActionScript language, Flash Remoting was born. Flash applications can make request to a remote server to call server side functions, such as looking up accounts, retrieving additional data and graphics, and performing complex business operations. However, the ability to call remote methods also increases the attack surface exposed by these applications. This tool will allow you to perform method enumeration and interrogation against flash remoting end points. Deblaze came about as a necessity during a few security assessments of flash based websites that made heavy use of flash remoting. I needed something to give me the ability to dig a little deeper into the technology and identify security holes. On all of the servers I’ve seen so far the names are not case sensitive, making it much easier to bruteforce. Often times HTTP POST requests won’t be logged by the server, so bruteforcing may go unnoticed on poorly monitored systems.",web-app
483,decodify,"Tool that can detect and decode encoded strings, recursively.",crypto
484,deen,Generic data encoding/decoding application built with PyQt5.,crypto
485,delldrac,DellDRAC and Dell Chassis Discovery and Brute Forcer.,scanner
486,delorean,NTP Main-in-the-Middle tool.,exploitation
487,demiguise,HTA encryption tool for RedTeams.,crypto
488,depant,Check network for services with default passwords.,cracker
489,depdep,A merciless sentinel which will seek sensitive files containing critical info leaking through your network.,networking
490,depix,A tool for recovering passwords from pixelized screenshots.,misc
491,det,(extensible) Data Exfiltration Toolkit.,networking
492,detectem,Detect software and its version on websites.,fingerprint
493,detect-it-easy,A program for determining types of files.,binary
494,detect-secrets,An enterprise friendly way of detecting and preventing secrets in code.,code-audit
495,detect-sniffer,Tool that detects sniffers in the network.,defensive
496,devaudit,"An open-source, cross-platform, multi-purpose security auditing tool targeted at developers and teams.",code-audit
497,device-pharmer,Opens 1K+ IPs or Shodan search results and attempts to login.,cracker
498,dex2jar,dex2jar contains following components:,reverse-eng
499,dexpatcher,Modify Android DEX/APK files at source-level using Java.,mobile
500,dff,DFF (Digital Forensics Framework) is a free and Open Source computer forensics software built on top of a dedicated Application Programming Interface (API).,forensics
501,dff-scanner,Tool for finding path of predictable resource locations.,web-app
502,dfir-ntfs,An NTFS parser for digital forensics & incident response.,forensics
503,dga-detection,DGA Domain Detection using Bigram Frequency Analysis.,recon
504,dharma,"Generation-based, context-free grammar fuzzer.",fuzzer
505,dhcdrop,Remove illegal dhcp servers with IP-pool underflow.,misc
506,DHCP.py,part of the responder package (/usr/share/responder/dhcp.py),network
507,dhcpf,Passive DHCP fingerprinting implementation.,fingerprint
508,dhcpig,"DHCPig initiates an advanced DHCP exhaustion attack. It will consume all IPs on the LAN, stop new users from obtaining IPs, release any IPs in use, then for good measure send gratuitous ARP and knock all windows hosts offline. It requires scapy >=2.1 library and admin privileges to execute. No configuration necessary, just pass the interface as a parameter. It has been tested on multiple Linux distributions and multiple DHCP servers (ISC, Windows 2k3/2k8).",stress-testing
509,dhcpoptinj,DHCP option injector.,networking
510,didier-stevens-suite,A collection of pentest tools,misc
511,dinouml,"A network simulation tool, based on UML (User Mode Linux) that can simulate big Linux networks on a single PC",networking
512,dirb,DIRB is a Web Content Scanner. It looks for existing (and/or hidden) Web Objects. It basically works by launching a dictionary based attack against a web server and analyzing the response.,web-app
513,dirble,Fast directory scanning and scraping tool.,web-app
514,dirbuster,"DirBuster is a multi threaded java application designed to brute force directories and files names on web/application servers. Often is the case now of what looks like a web server in a state of default installation is actually not, and has pages and applications hidden within. DirBuster attempts to find these. However tools of this nature are often as only good as the directory and file list they come with. A different approach was taken to generating this. The list was generated from scratch, by crawling the Internet and collecting the directory and files that are actually used by developers! DirBuster comes a total of 9 different lists, this makes DirBuster extremely effective at finding those hidden files and directories. And if that was not enough DirBuster also has the option to perform a pure brute force, which leaves the hidden directories and files nowhere to hide.",web-app
515,dirbuster-ng,C CLI implementation of the Java dirbuster tool.,web-app
516,directorytraversalscan,Detect directory traversal vulnerabilities in HTTP servers and web applications.,windows
517,dirhunt,Find web directories without bruteforce.,web-app
518,dirscanner,"This is a python script that scans webservers looking for administrative directories, php shells, and more.",scanner
519,dirscraper,OSINT Scanning tool which discovers and maps directories found in javascript files hosted on a website.,web-app
520,dirsearch,HTTP(S) directory/file brute forcer.,web-app
521,dirstalk,Modern alternative to dirbuster/dirb.,scanner
522,Discover,auto enumeration on linux (more info needed),post-recon
523,disitool,Tool to work with Windows executables digital signatures.,forensics
524,dislocker,Read BitLocker encrypted volumes under Linux.,crypto
525,dissector,This code dissects the internal data structures in ELF files. It supports x86 and x86_64 archs and runs under Linux.,binary
526,distorm,Powerful disassembler library for x86/AMD64,disassembler
527,distorm3,"diStorm is a lightweight, easy-to-use and fast decomposer library. diStorm disassembles instructions in 16, 32 and 64 bit modes. Supported instruction sets: FPU, MMX, SSE, SSE2, SSE3, SSSE3, SSE4, 3DNow! (w/ extensions), new x86-64 instruction sets, VMX, AMD’s SVM and AVX!. The output of new interface of diStorm is a special structure that can describe any x86 instruction, this structure can be later formatted into text for display too. diStorm is written in C, but for rapidly use, diStorm also has wrappers in Python/Ruby/Java and can easily be used in C as well. It is also the fastest disassembler library!. The source code is very clean, readable, portable and platform independent (supports both little and big endianity). diStorm solely depends on the C library, therefore it can be used in embedded or kernel modules. Note that diStorm3 is backward compatible with the interface of diStorm64 (however, make sure you use the newest header files).",reverse-eng
528,dizzy,A Python based fuzzing framework with many features.,fuzzer
529,dkmc,Dont kill my cat - Malicious payload evasion tool.,exploitation
530,dmde,Disk Editor and Data Recovery Software.,forensics
531,dmg2img,A CLI tool to uncompress Apple's compressed DMG files to the HFS+ IMG format,forensics
532,dmitry,"DMitry (Deepmagic Information Gathering Tool) is a UNIX/(GNU)Linux Command Line Application coded in C. DMitry has the ability to gather as much information as possible about a host. Base functionality is able to gather possible subdomains, email addresses, uptime information, tcp port scan, whois lookups, and more.",recon
533,dnmap,dnmap is a framework to distribute nmap scans among several clients. It reads an already created file with nmap commands and send those commands to each client connected to it.,recon
534,dns2geoip,A simple python script that brute forces DNS and subsequently geolocates the found subdomains.,scanner
535,dns2tcp,"Dns2tcp is a network tool designed to relay TCP connections through DNS traffic. Encapsulation is done on the TCP level, thus no specific driver is needed (i.e: TUN/TAP). Dns2tcp client doesn’t need to be run with specific privileges.",persistence
536,dnsa,A dns security swiss army knife.,scanner
537,dnsbf,Search for available domain names in an IP range.,scanner
538,dnsbrute,"Multi-theaded DNS bruteforcing, average speed 80 lookups/second with 40 threads.",recon
539,dnschef,"DNSChef is a highly configurable DNS proxy for Penetration Testers and Malware Analysts. A DNS proxy (aka “Fake DNS”) is a tool used for application network traffic analysis among other uses. For example, a DNS proxy can be used to fake requests for “badguy.com” to point to a local machine for termination or interception instead of a real host somewhere on the Internet.",network
540,dnscobra,DNS subdomain bruteforcing tool with Tor support through torsocks,recon
541,dnsdiag,DNS Diagnostics and Performance Measurement Tools.,networking
542,DNSDict6,,network
543,dnsdrdos,Proof of concept code for distributed DNS reflection DoS.,dos
544,DNSenum,,network
545,dnsfilexfer,File transfer via DNS.,networking
546,dnsgoblin,Nasty creature constantly searching for DNS servers. It uses standard dns querys and waits for the replies.,scanner
547,dnsgrep,A utility for quickly searching presorted DNS names.,recon
548,DNSMap,,network
549,dns-parallel-prober,PoC for an adaptive parallelised DNS prober.,recon
550,dnspredict,DNS prediction.,scanner
551,dnsprobe,Allows you to perform multiple dns queries of your choice with a list of user supplied resolvers.,recon
552,dnspy,.NET debugger and assembly editor.,windows
553,DNSRecon,A powerful DNS enumeration script,network
554,Dnsrevenum6,,network
555,dns-reverse-proxy,A reverse DNS proxy written in Go.,proxy
556,dnssearch,A subdomain enumeration tool.,recon
557,dnsspider,A fast multithreaded bruteforcer of subdomains that leverages a wordlist and/or character permutation.,recon
558,dns-spoof,Yet another DNS spoof utility.,spoof
559,dnsteal,DNS Exfiltration tool for stealthily sending files over DNS requests..,networking
560,dnstracer,"dnstracer determines where a given Domain Name Server (DNS) gets its information from for a given hostname, and follows the chain of DNS servers back to the authoritative answer.",recon
561,dnstwist,"Domain name permutation engine for detecting typo squatting, phishing and corporate espionage.",scanner
562,dnsvalidator,"Maintains a list of IPv4 DNS servers by verifying them against baseline servers, and ensuring accurate responses.",networking
563,dnswalk,"dnswalk is a DNS debugger. It performs zone transfers of specified domains, and checks the database in numerous ways for internal consistency, as well as accuracy.",recon
564,dnsx,Fast and multi-purpose DNS toolkit allow to run multiple DNS queries of your choice with a list of user-supplied resolvers.,recon
565,docem,"Uility to embed XXE and XSS payloads in docx,odt,pptx,etc (OXML_XEE on steroids).",web-app
566,dockerscan,Docker security analysis & hacking tools.,scanner
567,domain-analyzer,Finds all the security information for a given domain name.,recon
568,domainhunter,Checks expired domains for categorization/reputation and Archive.org history to determine good candidates for phishing and C2 domain names.,recon
569,domain-stats,A web API to deliver domain information from whois and alexa.,recon
570,domato,DOM fuzzer.,fuzzer
571,domi-owned,A tool used for compromising IBM/Lotus Domino servers.,web-app
572,domlink,"A tool to link a domain with registered organisation names and emails, to other domains.",misc
573,donut,"Generates x86, x64 or AMD64+x86 P.I. shellcode loading .NET Assemblies from memory.",backdoor
574,doona,"Doona is a fork of the Bruteforce Exploit Detector Tool (BED). BED is a program which is designed to check daemons for potential buffer overflows, format string bugs etc.
Doona is Australian for duvet. It adds a significant number of features/changes to BED.",vulnerability-analysis
575,doork,Passive Vulnerability Auditor.,web-app
576,doozer,A Password cracking utility.,cracker
577,dorkbot,Command-line tool to scan Google search results for vulnerabilities.,scanner
578,dorkme,"Tool designed with the purpose of making easier the searching of vulnerabilities with Google Dorks, such as SQL Injection vulnerabilities.",scanner
579,dorknet,Selenium powered Python script to automate searching for vulnerable web apps.,web-app
580,dos2unix,convets files with dos line endings to line endings readable by unix,misc
581,Dotdotpwn,A very flexible intelligent fuzzer to discover traversal directory vulnerabilities in software such as HTTP/FTP/TFTP servers,web-app
582,dotpeek,Free .NET Decompiler and Assembly Browser.,windows
583,dpeparser,Default password enumeration project,cracker
584,dpscan,Drupal Vulnerability Scanner.,scanner
585,dr0p1t-framework,"A framework that creates a dropper that bypass most AVs, some sandboxes and have some tricks.",backdoor
586,dracnmap,Tool to exploit the network and gathering information with nmap help.,automation
587,dradis,"Dradis is an open source framework to enable effective information sharing, specially during security assessments.
Dradis is a self-contained web application that provides a centralized repository of information to keep track of what has been done so far, and what is still ahead.",reporting-tools
588,dradis-ce,An open source framework to enable effective information sharing.,recon
589,dragon-backdoor,"A sniffing, non binding, reverse down/exec, portknocking service Based on cd00r.c.",backdoor
590,dr-checker,A Soundy Vulnerability Detection Tool for Linux Kernel Drivers.,exploitation
591,driftnet,Listens to network traffic and picks out images from TCP streams it observes.,scanner
592,drinkme,A shellcode testing harness.,exploitation
593,dripcap,Caffeinated Packet Analyzer.,networking
594,dripper,"A fast, asynchronous DNS scanner; it can be used for enumerating subdomains and enumerating boxes via reverse DNS.",scanner
595,droopescan,"A plugin-based scanner that aids security researchers in identifying issues with several CMSs, mainly Drupal & Silverstripe.",web-app
596,drozer,A security testing framework for Android - Precompiled binary from official repository.,mobile
597,drupal-module-enum,Enumerate on drupal modules.,web-app
598,drupalscan,Simple non-intrusive Drupal scanner.,web-app
599,drupwn,Drupal enumeration & exploitation tool.,web-app
600,dscanner,Swiss-army knife for D source code,code-audit
601,dsd,Digital Speech Decoder,misc
602,dsfs,A fully functional File inclusion vulnerability scanner (supporting GET and POST parameters) written in under 100 lines of code.,web-app
603,dshell,A network forensic analysis framework.,forensics
604,dsjs,A fully functional JavaScript library vulnerability scanner written in under 100 lines of code.,web-app
605,dsniff,Collection of tools for network auditing and penetration testing,sniffer
606,Dsquery,"For windows, Queries the directory by using search criteria that you specify",windows
607,dsss,A fully functional SQL injection vulnerability scanner (supporting GET and POST parameters) written in under 100 lines of code.,web-app
608,dsstore-crawler,A parser + crawler for .DS_Store files exposed publically.,web-app
609,dsxs,A fully functional Cross-site scripting vulnerability scanner (supporting GET and POST parameters) written in under 100 lines of code.,web-app
610,d-tect,Pentesting the Modern Web.,scanner
611,dtpscan.sh,enumerats dynamic trunking,network
612,dtp-spoof,Python script/security tool to test Dynamic Trunking Protocol configuration on a switch.,networking
613,dublin-traceroute,NAT-aware multipath tracerouting tool.,networking
614,ducktoolkit,Encoding Tools for Rubber Ducky.,exploitation
615,dumb0,A simple tool to dump users in popular forums and CMS.,automation
616,dump1090,A simple Mode S decoder for RTLSDR devices.,networking
617,dumpacl,Dumps NTs ACLs and audit settings.,windows
618,dumpusers,Dumps account names and information even though RestrictAnonymous has been set to 1.,windows
619,dumpzilla,"Dumpzilla application is developed in Python 3.x and has as purpose extract all forensic interesting information of Firefox, Iceweasel and Seamonkey browsers to be analyzed. Due to its Python 3.x developement, might not work properly in old Python versions, mainly with certain characters. Works under Unix and Windows 32/64 bits systems. Works in command line interface, so information dumps could be redirected by pipes with tools such as grep, awk, cut, sed… Dumpzilla allows to visualize following sections, search customization and extract certain content.",forensics
620,duplicut,"Remove duplicates from massive wordlist, without sorting it (for dictionnary-based password cracking).",misc
621,dutas,Analysis PE file or Shellcode.,binary
622,dvcs-ripper,Rip web accessible (distributed) version control systems: SVN/GIT/BZR/CVS/HG.,scanner
623,dwarf,Full featured multi arch/os debugger built on top of PyQt5 and frida.,binary
624,dynamorio,A dynamic binary instrumentation framework.,binary
625,eapeak,Analysis Suite For EAP Enabled Wireless Networks.,wireless
626,eaphammer,Targeted evil twin attacks against WPA2-Enterprise networks. Indirect wireless pivots using hostile portal attacks.,wireless
627,Eapmd5pass,"This tool reads from a live network interface in monitor-mode, or from a stored libpcap capture file, and extracts the portions of the EAP-MD5 authentication exchange. Once the challenge and response portions have been collected from this exchange, eapmd5pass will mount an offline dictionary attack against the user�s password.",network
628,easside-ng,"Easside-ng is an auto-magic tool which allows you to communicate via an WEP-encrypted access point (AP) without knowing the WEP key. It first identifies a network, then proceeds to associate with it, obtain PRGA (pseudo random generation algorithm) xor data, determine the network IP scheme and then setup a TAP interface so that you can communicate with the AP without requiring the WEP key. All this is done without your intervention.",wireless
629,Easy-Creds,"screen, freeradius (with wpe patches), hamster, ferret, sslstrip, dsniff, urlsnarf, metasploit, airbase-ng, airodump-ng, hostapd, mdk3, ipcalc and asleap to automate the collection of credentials thought a various number of tools",post-recon
630,easyda,Easy Windows Domain Access Script.,automation
631,easyfuzzer,"A flexible fuzzer, not only for web, has a CSV output for efficient output analysis (platform independent).",fuzzer
632,eazy,"This is a small python tool that scans websites to look for PHP shells, backups, admin panels, and more.",scanner
633,ecfs,Extended core file snapshot format.,binary
634,edb,A cross platform AArch32/x86/x86 debugger.,debugger
635,edb-debugger,A Linux equivalent of the famous Olly debugger on the Windows platform. Some of its features are:. ,reverse-eng
636,eggshell,iOS/macOS/Linux Remote Administration Tool.,backdoor
637,eigrp-tools,This is a custom EIGRP packet generator and sniffer developed to test the security and overall operation quality of this brilliant Cisco routing protocol.,sniffer
638,eindeutig,Examine the contents of Outlook Express DBX email repository files (forensic purposes),forensics
639,electric-fence,A malloc(3) debugger that uses virtual memory hardware to detect illegal memory accesses.,debugger
640,elettra,Encryption utility by Julia Identity,misc
641,elettra-gui,Gui for the elettra crypto application.,misc
642,elfkickers,Collection of ELF utilities (includes sstrip),binary
643,elfparser,Cross Platform ELF analysis.,binary
644,elfutils,Handle ELF object files and DWARF debugging information (utilities),binary
645,elidecode,A tool to decode obfuscated shellcodes using the unicorn-engine for the emulation and the capstone-engine to print the asm code.,reverse-eng
646,elite-proxy-finder,Finds public elite anonymity proxies and concurrently tests them.,proxy
647,email2phonenumber,A OSINT tool to obtain a target's phone number just by having his email address.,social
648,emldump,Analyze MIME files.,forensics
649,empire,A PowerShell and Python post-exploitation agent.,automation
650,enabler,Attempts to find the enable password on a cisco system via brute force.,cracker
651,encodeshellcode,This is an encoding tool for 32-bit x86 shellcode that assists a researcher when dealing with character filter or byte restrictions in a buffer overflow vulnerability or some kind of IDS/IPS/AV blocking your code.,exploitation
652,ent,used to get the enthropy of a file (~4.5 is normaly ASCII and >6 is encrypted.,misc
653,enteletaor,"Message Queue & Broker Injection tool that implements attacks to Redis, RabbitMQ and ZeroMQ.",exploitation
654,entropy,A set of tools to exploit Netwave and GoAhead IP Webcams.,exploitation
655,Enum4Linux,for Enumerating Windows and Samba hosts,recon
656,enum4linux-ng,A next generation version of enum4linux.,recon
657,enumerate-iam,Enumerate the permissions associated with an AWS credential set.,recon
658,enumerid,Enumerate RIDs using pure Python.,recon
659,enumiax,enumIAX is an Inter Asterisk Exchange protocol username brute-force enumerator. enumIAX may operate in two distinct modes; Sequential Username Guessing or Dictionary Attack.,recon
660,enum-shares,Tool that enumerates shared folders across the network and under a custom user account.,scanner
661,enyelkm,Rootkit for Linux x86 kernels v2.6.,backdoor
662,eos,Enemies Of Symfony - Debug mode Symfony looter.,web-app
663,epicwebhoneypot,Tool which aims to lure attackers using various types of web vulnerability scanners by tricking them into believing that they have found a vulnerability on a host.,web-app
664,eraser,Windows tool which allows you to completely remove sensitive data from your hard drive by overwriting it several times with carefully selected patterns.,windows
665,erase-registrations,An IAX flooder.,voip
666,eresi,The ERESI Reverse Engineering Software Interface.,binary
667,erl-matter,"Tool to exploit epmd related services such ass rabbitmp, ejabberd and couchdb by bruteforcing the cookie and gaining RCE afterwards.",exploitation
668,esentutl.py,"An Extensibe Storage Engine format implementation. Allows dumping catalog, pages and tables of ESE databases (e.g. NTDS.dit)",windows
669,espionage,A Network Packet and Traffic Interceptor For Linux. Sniff All Data Sent Through a Network.,sniffer
670,eternal-scanner,An internet scanner for exploit CVE-0144 (Eternal Blue).,scanner
671,etherape,Graphical network monitor for various OSI layers and protocols,networking
672,etherchange,Can change the Ethernet address of the network adapters in Windows.,windows
673,etherflood,Floods a switched network with Ethernet frames with random hardware addresses.,windows
674,Ettercap,Ettercap is a comprehensive suite for man in the middle attacks. It supports active and passive dissection of many protocols and includes many features for network and host analysis.,network
675,evilclippy,A cross-platform assistant for creating malicious MS Office documents.,exploitation
676,evilginx,Man-in-the-middle attack framework used for phishing login credentials,social
677,Evilgrade,to serve malicious content to victims by service impersonation,spoof
678,evilize,Tool to create MD5 colliding binaries.,cracker
679,evillimiter,Tool that limits bandwidth of devices on the same network without access.,networking
680,evilmaid,TrueCrypt loader backdoor to sniff volume password,cracker
681,evilpdf,Embedding executable files in PDF Documents.,backdoor
682,evil-ssdp,Spoof SSDP replies to phish for NetNTLM challenge/response on a network.,spoof
683,Evil-WinRM,Malware exuivilent of WinRM and used to exploit windows systems,exploitation
684,evine,Interactive CLI Web Crawler.,web-app
685,evtkit,Fix acquired .evt - Windows Event Log files (Forensics).,forensics
686,exabgp,The BGP swiss army knife of networking.,networking
687,exchanger.py,A tool for connecting to MS Exchange via RPC over HTTP v2.,misc
688,exe2image,A simple utility to convert EXE files to JPEG images and vice versa.,backdoor
689,exescan,A tool to detect anomalies in PE (Portable Executable) files.,binary
690,exitmap,A fast and modular scanner for Tor exit relays.,recon
691,expimp-lookup,Looks for all export and import names that contain a specified string in all Portable Executable in a directory tree.,binary
692,exploitdb,Searchable archive from The Exploit Database.,exploitation
693,exploit-db,The Exploit Database (EDB) – an ultimate archive of exploits and vulnerable software - A collection of hacks,exploitation
694,exploitpack,Exploit Pack - The next generation exploit framework.,exploitation
695,expose,A Dynamic Symbolic Execution (DSE) engine for JavaScript,binary
696,exrex,Irregular methods on regular expressions.,misc
697,extended-ssrf-search,Smart ssrf scanner using different methods like parameter brute forcing in post and get.,web-app
698,extracthosts,Extracts hosts (IP/Hostnames) from files.,misc
699,extractusnjrnl,Tool to extract the $UsnJrnl from an NTFS volume.,forensics
700,extundelete,"extundelete is a utility that can recover deleted files from an ext3 or ext4 partition. The ext3 and ext4 file systems are the most common default file systems in Linux distributions like Mint, Mageia, or Ubuntu. extundelete uses information stored in the partition’s journal to attempt to recover a file that has been deleted from the partition. There is no guarantee that any particular file will be able to be undeleted, so always try to have a good backup system in place, or at least put one in place after recovering your files.",forensics
701,eyeballer,Convolutional neural network for analyzing pentest screenshots.,misc
702,eyepwn,Exploit for Eye-Fi Helper directory traversal vulnerability,exploitation
703,eyewitness,"EyeWitness is designed to take screenshots of websites, RDP services, and open VNC servers, provide some server header info, and identify default credentials if possible.",recon
704,facebash,Facebook Brute Forcer in shellscript using TOR.,social
705,facebookosint,OSINT tool to replace facebook graph search.,social
706,facebot,A facebook profile and reconnaissance system.,recon
707,facebrok,Social Engineering Tool Oriented to facebook.,social
708,facebrute,This script tries to guess passwords for a given facebook account using a list of passwords (dictionary).,cracker
709,factordb-pycli,CLI for factordb and Python API Client.,crypto
710,fake_router6,advertises a new default gateway,spoof
711,fakeap,Black Alchemy's Fake AP generates thousands of counterfeit 802.11b access points. Hide in plain sight amongst Fake AP's cacophony of beacon frames.,honeypot
712,fakedns,"A regular-expression based python MITM DNS server with correct DNS request passthrough and ""Not Found"" responses.",proxy
713,fakemail,Fake mail server that captures e-mails as files for acceptance testing.,misc
714,fakenetbios,A family of tools designed to simulate Windows hosts (NetBIOS) on a LAN.,spoof
715,fakenet-ng,Next Generation Dynamic Network Analysis Tool.,malware
716,fang,A multi service threaded MD5 cracker.,cracker
717,faraday,"Faraday introduces a new concept – IPE (Integrated Penetration-Test Environment) a multiuser Penetration test IDE. Designed for distribution, indexation and analysis of the data generated during a security audit.",recon
718,faradaysec,Collaborative Penetration Test and Vulnerability Management Platform.,scanner
719,fastnetmon,High performance DoS/DDoS load analyzer built on top of multiple packet capture engines.,defensive
720,favfreak,"Weaponizing favicon.ico for BugBounties , OSINT and what not.",recon
721,fbht,A Facebook Hacking Tool,web-app
722,fbi,An accurate facebook account information gathering.,social
723,fbid,Show info about the author by facebook photo url.,recon
724,fcrackzip,Zip file password cracker,cracker
725,fdsploit,"A File Inclusion & Directory Traversal fuzzing, enumeration & exploitation tool.",web-app
726,featherduster,"An automated, modular cryptanalysis tool.",crypto
727,fernflower,An analytical decompiler for Java.,decompiler
728,fernmelder,Asynchronous mass DNS scanner.,scanner
729,fern-wifi-cracker,"Fern Wifi Cracker is a Wireless security auditing and attack software program written using the Python Programming Language and the Python Qt GUI library, the program is able to crack and recover WEP/WPA/WPS keys and also run other network based attacks on wireless or ethernet based networks.",wireless
730,feroxbuster,"A fast, simple, recursive content discovery tool written in Rust.",web-app
731,ffuf,Fast web fuzzer written in Go.,web-app
732,ffuf-scripts,Scripts and snippets for ffuf payloads.,misc
733,fgscanner,"An advanced, opensource URL scanner.",scanner
734,fhttp,"This is a framework for HTTP related attacks. It is written in Perl with a GTK interface, has a proxy for debugging and manipulation, proxy chaining, evasion rules, and more.",web-app
735,fi6s,IPv6 network scanner designed to be fast.,scanner
736,Fierce,This is for identifying likely targets inside and outside a coperate network,recon
737,fiked,"FakeIKEd, or fiked for short, is a fake IKE daemon supporting just enough of the standards and Cisco extensions to attack commonly found insecure Cisco VPN PSK+XAUTH based IPsec authentication setups in what could be described as a semi MitM attack. Fiked can impersonate a VPN gateway’s IKE responder in order to capture XAUTH login credentials; it doesn’t currently do the client part of full MitM.",network
738,filebuster,An extremely fast and flexible web fuzzer.,web-app
739,filefuzz,A binary file fuzzer for Windows with several options.,windows
740,filegps,A tool that help you to guess how your shell was renamed after the server-side script of the file uploader saved it.,web-app
741,fileintel,A modular Python application to pull intelligence about malicious files.,malware
742,filibuster,A Egress filter mapping application with additional functionality.,networking
743,fimap,"fimap is a little python tool which can find, prepare, audit, exploit and even google automatically for local and remote file inclusion bugs in web-app. fimap should be something like sqlmap just for LFI/RFI bugs instead of SQL injection. It’s currently under heavy development but it’s usable.",web-app
744,finalrecon,OSINT Tool for All-In-One Web Reconnaissance.,recon
745,findDelegation.py,"Simple script to quickly list all delegation relationships (unconstrained, constrained, resource-based constrained) in an AD environment.",recon
746,find-dns,A tool that scans networks looking for DNS servers.,scanner
747,findmyhash,Accepted algorithms are:,cracker
748,findmyiphone,Locates all devices associated with an iCloud account,mobile
749,findomain,"The fastest and cross-platform subdomain enumerator, do not waste your time",recon
750,findsploit,Find exploits in local and online databases instantly.,automation
751,fingerprinter,CMS/LMS/Library etc Versions Fingerprinter.,web-app
752,firecat,A penetration testing tool that allows you to punch reverse TCP tunnels out of a compromised network.,networking
753,firefox-security-toolkit,A tool that transforms Firefox browsers into a penetration testing suite.,misc
754,firewalk,"Firewalk is an active reconnaissance network security tool that attempts to determine what layer 4 protocols a  given IP forwarding device will pass. Firewalk  works  by sending out TCP or UDP packets with a TTL one greater than the targeted gateway.  If the gateway allows the traffic, it will forward the packets to the next hop where they will expire and elicit an ICMP_TIME_EXCEEDED  message.  If the gateway hostdoes not allow the traffic, it will likely drop the packets on  the floor and we will see no response.",recon
755,firmwalker,Script for searching the extracted firmware file system for goodies.,firmware
756,firmware-mod-kit,Modify firmware images without recompiling.,firmware
757,firstexecution,A Collection of different ways to execute code outside of the expected entry points.,exploitation
758,firstorder,A traffic analyzer to evade Empire communication from Anomaly-Based IDS.,sniffer
